Duration	Gender	Age	Region	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	EDU	NAT_1	NAT_2	NAT_3	NAT_6	LNG1	EXCLUDE	LNG2	EXP1	EXP2	EXP3	RHAB
1144	Female	34	Northeast	4	4	3	4	4	2	3	2	2	2	2	4	2	2	2	3	1	7	6	A	1	3	2	2	2	1	2	1	2	1	2	2	2	4	4	4	4	4	4	0	10	10	0	0	0	0	0	0	10	0	10	1	4	10	7	7	2	6	7	6	2	1	1	7	7	7	4	4	Christian	Junior High School / Middle School	Usa	Usa	Na	Mo	Yes		Basic	3	1	1	10
1236	Female	22	Northeast	1	1	2	4	5	3	1	4	4	6	1	3	3	6	3	1	3	4	4	A	7	1	1	1	1	2	1	1	1	1	1	1	1	3	0	-2	-3	3	3	2	3	1	2	1	1	4	1	2	1	2	8	4	2	1	1	3	4	4	4	2	1	2	7	6	5	5	3	4	Christianity	Junior High School / Middle School	United States	Georgia 	McDonald驕ｯｽｶ陷ｽｱ 	Georgia 	Yes			2	2	5	3
592	Female	28	South	5	4	4	5	3	4	4	3	7	7	5	7	5	6	6	7	5	6	6	A	2	2	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	10	10	8	6	9	10	7	10	9	10	10	10	10	10	10	7	5	1	6	7	7	3	3	1	7	7	7	5	7	Christian 	Junior High School / Middle School	USA	USA	Homemaker	SC	Yes			5	2	1	10
466	Female	43	Northeast	2	4	3	3	2	3	1	2	4	5	3	1	2	4	3	2	3	2	2	A	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	4	2	6	6	6	3	6	2	4	5	7	7	7	Christian 	Other	United States 	United States 	Restaurant owner	Virginia	Yes			5	3	1	1
891	Female	27	South	4	3	1	3	1	5	2	1	4	1	4	1	4	7	1	1	6	1	1	A	2	1	1	1	1	1	1	1	2	1	1	2	2	3	3	3	2	3	3	7	10	0	0	5	5	0	0	0	10	5	10	5	0	9	4	4	2	5	6	4	2	1	1	5	4	4	2	5	Christianity	Other	United States 	United States	Customer Service Representative 	South Carolina	Yes			1	1	1	0
1813	Male	59	Northeast	4	4	2	5	2	3	4	2	7	4	4	4	3	6	2	6	1	4	1	B	1	1	4	1	1	1	1	1	4	1	1	1	1	4	4	4	4	4	4	0	3	0	0	0	4	0	0	0	10	9	6	0	0	5	7	5	5	7	7	7	2	1	1	7	7	6	7	7	Baptist 	Vocational School / Technical College / Communication College (Associate Degree)	United States of America 	United States of America 	Disabled 	Tennessee 	Yes			8	1	1	10
820	Female	42	Northeast	3	5	4	4	4	4	4	4	6	4	4	4	4	6	5	4	4	4	4	A	4	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	5	3	3	2	5	5	2	2	1	5	3	3	2	2	2	6	5	4	6	5	5	3	4	5	6	4	5	4	3	Catholic	Vocational School / Technical College / Communication College (Associate Degree)	USA	USA	Nurse	Pa	Yes			6	2	1	2
884	Male	21	South	5	5	3	5	3	4	4	5	5	1	4	3	1	7	1	5	7	1	1	B	4	1	1	2	1	1	1	1	1	1	1	1	1	0	4	4	0	4	4	0	10	0	0	3	10	0	5	3	10	10	10	5	5	10	7	3	7	5	7	3	3	4	3	5	7	7	5	6	Agnostic 	University / College / Undergraduate School (Bachelor Degree)	US	US	Food service	NC	Yes			6	3	1	0
3242	Male	30	South	2	1	1	3	1	3	4	2	6	7	6	7	6	1	6	7	6	6	6	A	3	5	3	3	3	3	6	5	6	2	1	3	2	4	3	3	4	4	4	1	6	0	0	3	8	0	0	0	9	0	8	1	0	9	6	2	1	5	7	6	1	6	1	6	6	6	6	6	Christian 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	USA	USA	doctor	NEW YORK 	Yes			6	4	1	10
926	Female	40	West	4	4	3	5	4	4	4	4	4	1	4	1	1	7	2	1	4	1	1	A	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	10	10	5	5	10	5	10	0	10	10	10	10	10	10	7	1	1	7	7	7	1	1	1	7	7	7	7	7	None	Vocational School / Technical College / Communication College (Associate Degree)	Usa	Usa	Hospitality management	New mexico	Yes			4	2	2	10
