id	cul	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6.	AC_7	AC_8	AC_9.	AC_10	AC_11	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2.EC	IRI_4.EC.	IRI_9.EC	IRI_14.EC.	IRI_18.EC.	IRI_20.EC	IRI_22.EC	IRI_3.PT.	IRI_8.PT	IRI_11.PT	IRI_15.PT.	IRI_21.PT	IRI_25.PT	IRI_28.PT	EXP_1	EXP_2	EXP_3	RHAB	FNL1	FNL2	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RATE_WITCH
21	EN1016	US	4	5	5	5	5	5	6	6	3	5	7	4	5	4	4	4	4	4	4	4	4	4	3	4	5	3	3	2	3	5	3	3	0	1	1	1	1	1	4	7	0	0	5	7	0	0	3	7	0	7	0	1	7	5	3	3	3	3	4	3	4	4	4	3	5	4	4	6	2	1	0	NA	NA	0	50	South	N/A	USA	USA	Self employed 	TX	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
22	EN1017	US	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	5	5	3	3	5	3	3	5	3	4	4	2	2	1	0	NA	NA	1	29	South	J					Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
23	EN1018	US	4	1	7	7	6	4	6	4	3	6	7	4	6	3	2	3	4	4	1	3	2	6	4	6	4	2	3	5	5	3	5	4	4	4	4	4	2	4	7	0	5	0	5	8	7	0	10	3	8	0	5	0	0	6	4	7	7	6	1	7	7	6	4	1	7	3	3	1	1	1	4	NA	NA	0	28	South	 Christian 	USA 	USA	Retail 	Tennessee 	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
24	EN1019	US	1	3	4	4	4	4	4	6	4	4	6	4	4	3	4	4	5	3	2	4	3	6	6	4	5	3	3	4	5	5	3	4	1	1	1	0	1	1	0	10	5	0	0	7	0	0	0	9	5	6	5	5	6	7	4	6	5	6	6	3	6	6	6	6	7	4	4	3	2	1	4	NA	NA	1	52	Northeast	catholic	usa	usa	project manager	pennsylvania	Yes		University / College / Undergraduate School (Bachelor Degree)	B
25	EN102	US	6	6	4	4	4	3	4	4	2	4	6	4	4	3	3	3	4	2	4	3	2	6	6	4	3	2	3	3	3	4	2	2	3	1	3	3	3	3	2	8	1	0	2	8	0	7	1	9	7	7	5	1	8	6	2	5	6	5	6	6	5	5	5	5	5	5	5	4	2	1	2	NA	NA	0	58	Midwest	Christian	United States 	United States	Retired firefighter 	Michigan 	Yes		Other	B
26	EN1020	US	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	3	4	4	4	4	4	6	6	2	5	5	5	4	6	3	1	1	0	-2	0	0	0	1	5	5	5	5	5	3	4	5	5	9	6	7	5	3	3	6	2	5	6	4	7	6	2	6	5	4	6	5	6	7	7	6	0	NA	NA	0	43	Midwest	Nonw	United States	United States	Clerk	OK	No	Business	Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
27	EN1021	US	1	3	1	3	1	2	3	1	1	2	1	2	7	5	5	4	4	5	5	5	5	7	7	7	7	7	3	7	7	2	7	7	-4	4	4	4	3	4	10	10	10	5	2	8	6	10	9	9	8	10	0	0	10	7	6	6	2	3	4	7	1	7	7	1	6	7	6	8	7	8	10	NA	NA	0	42	Northeast	catholic 	United States	United States	full time employee 	New York	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	B
28	EN1022	US	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	1	3	4	4	2	2	4	2	5	3	1	1	6	1	4	2	4	4	4	4	4	4	4	5	5	5	0	0	8	0	9	6	10	10	10	8	2	10	7	4	4	6	4	6	5	6	6	6	3	6	5	5	2	1	1	10	NA	NA	0	47	South	Christian	USA	USA	Analyst	VA	Yes		University / College / Undergraduate School (Bachelor Degree)	A
29	EN1023	US	7	6	6	7	7	7	7	7	7	7	7	7	7	5	5	5	5	5	5	5	3	1	1	1	1	1	1	2	4	4	1	1	4	4	4	4	3	4	0	10	5	0	0	10	0	0	0	10	0	10	10	0	10	7	1	5	5	6	7	7	3	4	4	3	4	5	2	2	2	1	5	NA	NA	0	27	South	Muslim 	USA	USA	Concierge	GA	Yes	Native	University / College / Undergraduate School (Bachelor Degree)	A
30	EN1024	US	3	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	3	3	5	5	4	4	4	3	5	4	4	1	1	1	0	NA	NA	0	36	South	none	United States 	United States 	Retired	Georgia 	Yes	Native	University / College / Undergraduate School (Bachelor Degree)	A
